model,accuracy,f1,precision,recall,auc,fold
ConcatFusion,0.6145833333333334,0.463768115942029,0.7619047619047619,0.3333333333333333,0.7685546875,1
GateOnlyFusion,0.6666666666666666,0.632183908045977,0.7051282051282052,0.5729166666666666,0.696506076388889,1
CoAttnOnlyFusion,0.65625,0.5822784810126582,0.7419354838709677,0.4791666666666667,0.7399088541666666,1
SelfAttnOnlyFusion,0.6875,0.6385542168674698,0.7571428571428571,0.5520833333333334,0.7536892361111112,1
SVM,0.484375,0.32653061224489793,0.47058823529411764,0.25,0.563693576388889,1
ConcatFusion,0.734375,0.6832298136645962,0.8461538461538461,0.5729166666666666,0.8313802083333333,2
GateOnlyFusion,0.7135416666666666,0.6357615894039735,0.8727272727272727,0.5,0.7812500000000001,2
CoAttnOnlyFusion,0.78125,0.75,0.875,0.65625,0.8333333333333335,2
SelfAttnOnlyFusion,0.7760416666666666,0.7542857142857143,0.8354430379746836,0.6875,0.8446180555555556,2
SVM,0.6197916666666666,0.4065040650406504,0.9259259259259259,0.2604166666666667,0.9230685763888888,2
ConcatFusion,0.7395833333333334,0.6875,0.859375,0.5729166666666666,0.7960069444444444,3
GateOnlyFusion,0.796875,0.7821229050279329,0.8433734939759037,0.7291666666666666,0.8464626736111112,3
CoAttnOnlyFusion,0.8697916666666666,0.8554913294797688,0.961038961038961,0.7708333333333334,0.9173177083333334,3
SelfAttnOnlyFusion,0.7135416666666666,0.708994708994709,0.7204301075268817,0.6979166666666666,0.8378906249999999,3
SVM,0.6614583333333334,0.6798029556650246,0.6448598130841121,0.71875,0.7583550347222222,3
ConcatFusion,0.6770833333333334,0.5753424657534246,0.84,0.4375,0.796875,4
GateOnlyFusion,0.6458333333333334,0.5277777777777778,0.7916666666666666,0.3958333333333333,0.7387152777777777,4
CoAttnOnlyFusion,0.5833333333333334,0.48717948717948717,0.6333333333333333,0.3958333333333333,0.7269965277777778,4
SelfAttnOnlyFusion,0.71875,0.6746987951807228,0.8,0.5833333333333334,0.7934027777777778,4
SVM,0.6875,0.7115384615384616,0.6607142857142857,0.7708333333333334,0.6332465277777778,4
ConcatFusion,0.6145833333333334,0.4931506849315068,0.72,0.375,0.5694444444444444,5
GateOnlyFusion,0.65625,0.6292134831460674,0.6829268292682927,0.5833333333333334,0.6701388888888888,5
CoAttnOnlyFusion,0.625,0.6,0.6428571428571429,0.5625,0.6358506944444443,5
SelfAttnOnlyFusion,0.6666666666666666,0.5675675675675675,0.8076923076923077,0.4375,0.6393229166666667,5
SVM,0.5625,0.5333333333333333,0.5714285714285714,0.5,0.6106770833333333,5
